time_s	q1_rad	q2_rad	q3_rad	q4_rad	q5_rad	q6_rad	dq1_rad_s	dq2_rad_s	dq3_rad_s	dq4_rad_s	dq5_rad_s	dq6_rad_s
0.000000000	-0.215791909	0.277270724	-1.650223463	-0.560587053	0.414489572	0.521540779	-0.000000000	0.000000000	0.000000000	-0.000000000	-0.000000000	0.000000000
0.001000000	-0.215791909	0.277270724	-1.650223463	-0.560587053	0.414489572	0.521540780	-0.000000190	0.000000013	0.000000208	-0.000000644	-0.000000070	0.000000631
0.002000000	-0.215791909	0.277270724	-1.650223462	-0.560587054	0.414489572	0.521540781	-0.000000759	0.000000051	0.000000830	-0.000002575	-0.000000281	0.000002524
0.003000000	-0.215791910	0.277270724	-1.650223461	-0.560587058	0.414489571	0.521540785	-0.000001708	0.000000115	0.000001867	-0.000005790	-0.000000632	0.000005674
0.004000000	-0.215791913	0.277270724	-1.650223459	-0.560587066	0.414489571	0.521540793	-0.000003034	0.000000204	0.000003317	-0.000010286	-0.000001123	0.000010081
0.005000000	-0.215791917	0.277270725	-1.650223454	-0.560587079	0.414489569	0.521540806	-0.000004737	0.000000319	0.000005179	-0.000016061	-0.000001754	0.000015740
0.006000000	-0.215791922	0.277270725	-1.650223448	-0.560587099	0.414489567	0.521540825	-0.000006816	0.000000459	0.000007453	-0.000023112	-0.000002524	0.000022651
0.007000000	-0.215791930	0.277270726	-1.650223439	-0.560587126	0.414489564	0.521540851	-0.000009272	0.000000624	0.000010138	-0.000031437	-0.000003434	0.000030810
0.008000000	-0.215791941	0.277270726	-1.650223428	-0.560587162	0.414489560	0.521540887	-0.000012102	0.000000815	0.000013232	-0.000041033	-0.000004482	0.000040214
0.009000000	-0.215791955	0.277270727	-1.650223413	-0.560587209	0.414489555	0.521540932	-0.000015306	0.000001031	0.000016736	-0.000051897	-0.000005669	0.000050862
0.010000000	-0.215791972	0.277270728	-1.650223394	-0.560587266	0.414489549	0.521540989	-0.000018884	0.000001271	0.000020647	-0.000064028	-0.000006994	0.000062751
0.011000000	-0.215791993	0.277270730	-1.650223371	-0.560587337	0.414489541	0.521541058	-0.000022834	0.000001537	0.000024966	-0.000077421	-0.000008456	0.000075877
0.012000000	-0.215792018	0.277270731	-1.650223344	-0.560587422	0.414489532	0.521541141	-0.000027156	0.000001828	0.000029692	-0.000092076	-0.000010057	0.000090240
0.013000000	-0.215792047	0.277270733	-1.650223312	-0.560587522	0.414489521	0.521541239	-0.000031849	0.000002145	0.000034824	-0.000107989	-0.000011795	0.000105835
0.014000000	-0.215792081	0.277270736	-1.650223274	-0.560587638	0.414489508	0.521541353	-0.000036913	0.000002485	0.000040360	-0.000125157	-0.000013670	0.000122661
0.015000000	-0.215792121	0.277270738	-1.650223231	-0.560587772	0.414489493	0.521541485	-0.000042346	0.000002851	0.000046300	-0.000143579	-0.000015683	0.000140715
0.016000000	-0.215792166	0.277270741	-1.650223181	-0.560587926	0.414489477	0.521541635	-0.000048148	0.000003242	0.000052644	-0.000163251	-0.000017831	0.000159995
