time_s,wall_time_s,compute_us,limited,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,pose_error1,pose_error2,pose_error3,pose_error4,pose_error5,pose_error6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,tau_pd1,tau_pd2,tau_pd3,tau_pd4,tau_pd5,tau_pd6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6
0,0,24.193,1,-0.215779564688,0.277595395173,-1.6501368891,-0.560677408192,0.414316226583,0.521275433863,0,0.00785398163397,-0,-0.0010471975512,-0.00209439510239,-0.0115191730632,-7.62924573903e-05,2.1168529098e-05,0.000190097488926,0.000297079601739,-0.000401007110536,4.24079609012e-05,-0.000321533765113,-1.31521880462e-05,5.44876815383e-05,-2.35077510724e-05,-5.94695423461e-09,-7.03676710867e-09,0.0131017813069,-0.145129799048,0.0897586299119,0.0354785032371,0.0291003528644,0.0122818849217,0.0127802475418,-0.03,0.03,0.015,0.015,0.0122818778849,0.00882,0.18144,-0.1353,0.0006,-0.007,0.0016
0.001,0.000693753,11.289,1,-0.215779364951,0.277603584393,-1.65013808752,-0.560679805037,0.414312871,0.5212624909,0,0.00785398163397,-0.00174532925199,-0.0010471975512,-0.00314159265359,-0.0115191730632,-7.76786644661e-05,2.16081798159e-05,0.000196399734211,0.000310207974836,-0.000413567674279,4.30381377357e-05,-0.000642219144947,-2.67717596607e-05,0.000108740086004,-4.70081044481e-05,-1.72176947422e-08,-1.38058369814e-08,0.0135634465803,-0.164064804391,0.107070564199,0.0396615375687,0.0342423800505,0.0119739175571,0.0129212274353,-0.06,0.06,0.03,0.03,0.0119739037513,0.06174,0.12411,-0.1397,0.0086,-0.0036,-0.0008
0.002,0.001787213,6.459,1,-0.215778965477,0.277612173088,-1.65014028463,-0.560684598727,0.414309275733,0.52125074636,0,0.00872664625997,-0.00261799387799,-0.00523598775598,-0.00418879020479,-0.0115191730632,-7.88597588522e-05,2.19779350205e-05,0.000203750055047,0.00032403141449,-0.000428183192371,4.27509804637e-05,-0.00128430434418,-5.3434953216e-05,0.000217387972812,-9.39677013747e-05,-3.96779315237e-08,-2.78551462881e-08,0.0159747684848,-0.196666432389,0.133404670685,0.0506755330093,0.041508007446,0.0155038171302,0.0146904641406,-0.09,0.09,0.045,0.0415079677681,0.015503789275,-0.00252,0.13419,-0.13475,0.01,-0.0002,-0.0064
0.003,0.002703944,5.232,1,-0.215778366266,0.277622359679,-1.65014288121,-0.560693227369,0.41430592015,0.521239720873,0,0.010471975512,-0.00261799387799,-0.010471975512,-0.00314159265359,-0.00942477796077,-8.01008645325e-05,2.23649468248e-05,0.000212760163995,0.000340218664874,-0.000445309438977,4.08043509843e-05,-0.00192474910528,-8.02253210885e-05,0.000326009089896,-0.000140771964541,-5.54188317459e-08,-4.17055233563e-08,0.0167536201552,-0.231382121362,0.158552385207,0.0607679290444,0.0469273289681,0.0179097324614,0.0148288710499,-0.12,0.12,0.06,0.0469272735493,0.0179096907559,0.00756,0.16506,-0.1375,0.0128,-0.0006,-0.0012
0.004,0.003703087,3.733,1,-0.215777966792,0.277633744692,-1.65014587726,-0.560705451278,0.414302564567,0.521228455702,0,0.011344640138,-0.00261799387799,-0.0136135681656,-0.00418879020479,-0.010471975512,-8.13317275778e-05,2.30128034114e-05,0.000223170908774,0.00035959438501,-0.00046471852927,3.78009348275e-05,-0.00256282766331,-0.000106533157641,0.000433963248916,-0.000187512317843,-7.62875380922e-08,-5.54733179363e-08,0.0195968026062,-0.254296977242,0.175543110607,0.0693929251243,0.0520663707737,0.0217427836387,0.0170339749429,-0.15,0.15,0.0692054128064,0.0520662944862,0.0217427281654,0.01701,0.16128,-0.1331,0.0184,0.0088,-0.0054
0.005,0.004823213,3.343,1,-0.215776968106,0.277645129706,-1.65014887332,-0.560717914872,0.414298969299,0.521216950846,0.000872664625997,0.011344640138,-0.00261799387799,-0.0125663706144,-0.00209439510239,-0.0115191730632,-8.254888126e-05,2.3293789006e-05,0.000233633948185,0.000379429328675,-0.000484382560547,3.42333090784e-05,-0.00320001725627,-0.000132853548539,0.000541860594216,-0.000234150742796,-9.40464177368e-08,-6.92636149439e-08,0.00466268254489,-0.247076369394,0.170475176941,0.0681017489828,0.0478578040219,0.0219309590783,0.00146266528862,-0.18,0.171017037535,0.06786759824,0.0478577099755,0.0219308898147,0.0189,0.14931,-0.12265,0.0158,0.0008,-0.0138
0.006,0.005646245,3.496,1,-0.215775769684,0.277655915509,-1.65015226885,-0.560728940359,0.414294654978,0.521204966621,0.000872664625997,0.010471975512,-0.00261799387799,-0.00942477796077,-0.00418879020479,-0.0115191730632,-8.36575772569e-05,2.34045397427e-05,0.000243788140631,0.00039846938798,-0.000504187059711,3.13274208654e-05,-0.00383697931676,-0.000160092411857,0.000650022609982,-0.00028066602778,-1.10548277865e-07,-8.28984802309e-08,0.00651736626074,-0.23494483748,0.161711120952,0.0623801140528,0.0473974216853,0.0193371753244,0.00268038694398,-0.21,0.162361143562,0.062099448025,0.047397311137,0.0193370924259,-0.00378,0.15813,-0.13585,0.0078,-0.005,-0.0016
0.007,0.00681885,3.326,0,-0.215774970736,0.277666901048,-1.65015566438,-0.560739007108,0.414290100973,0.521191544289,0.000872664625997,0.010471975512,-0.00261799387799,-0.00942477796077,-0.00418879020479,-0.0136135681656,-8.48599394379e-05,2.37658819618e-05,0.000253965422484,0.000418027359203,-0.000524201973853,2.92734312594e-05,-0.00447235868361,-0.00018581370448,0.000757232160332,-0.000327196855154,-1.37499594516e-07,-9.68773323861e-08,0.00651444292847,-0.235898328134,0.162253305711,0.0646593084123,0.0476621818341,0.0215293784852,0.00204208424486,-0.236084141838,0.163010537871,0.0643321115572,0.0476620443345,0.0215292816078,0.05229,0.15435,-0.1331,0.0082,-0.0056,-0.005
0.008,0.008027068,11.547,0,-0.215774371524,0.277678286062,-1.6501584607,-0.560750272279,0.414285546967,0.521177882273,0,0.011344640138,-0.00174532925199,-0.0115191730632,-0.00418879020479,-0.0146607657168,-8.61741171196e-05,2.43230236665e-05,0.000264267069353,0.000438965782689,-0.000544262328169,2.69998256096e-05,-0.00510537521044,-0.00021172676238,0.00086439695079,-0.000373543139061,-1.54146839654e-07,-1.10420975273e-07,0.0198344997053,-0.246974817968,0.167085688971,0.0695494927874,0.0505211379739,0.0245980236403,0.0147291244948,-0.247186544731,0.167950085922,0.0691759496483,0.050520983827,0.0245979132193,-0.0252,0.14112,-0.1452,0.0064,-0.0016,-0.0088
0.009,0.009004574,12.019,0,-0.215774171787,0.277691268972,-1.65016065781,-0.560763454926,0.414281472331,0.521162782149,0,0.01308996939,-0.00174532925199,-0.0136135681656,-0.00314159265359,-0.0136135681656,-8.78096254444e-05,2.52525013145e-05,0.000275493010942,0.000462881701625,-0.000565266910663,2.42163991939e-05,-0.00573811071791,-0.00023917640938,0.000971802863338,-0.000419788655799,-1.68415944718e-07,-1.24012495753e-07,0.0201752484288,-0.27513718803,0.185808625062,0.0756466423202,0.0547830464536,0.0252139731028,0.0144371377109,-0.275376364439,0.186780427926,0.0752268536644,0.0547828780377,0.0252138490903,0,0.16317,-0.12485,0.0162,0.002,0.0066
