time_s,q_ref_rad_1,q_ref_rad_2,q_ref_rad_3,q_ref_rad_4,q_ref_rad_5,q_ref_rad_6,q_rad_1,q_rad_2,q_rad_3,q_rad_4,q_rad_5,q_rad_6,dq_ref_rad_s_1,dq_ref_rad_s_2,dq_ref_rad_s_3,dq_ref_rad_s_4,dq_ref_rad_s_5,dq_ref_rad_s_6,dq_rad_s_1,dq_rad_s_2,dq_rad_s_3,dq_rad_s_4,dq_rad_s_5,dq_rad_s_6,tau_Nm_1,tau_Nm_2,tau_Nm_3,tau_Nm_4,tau_Nm_5,tau_Nm_6,solve_ms,cycle_ms,tcp_ref_m_x,tcp_ref_m_y,tcp_ref_m_z,tcp_m_x,tcp_m_y,tcp_m_z
5.000000000000000104e-03,-2.157919169999999998e-01,2.772707249999999957e-01,-1.650223454000000034e+00,-5.605870790000000436e-01,4.144895690000000021e-01,5.215408059999999679e-01,-2.157919186393558175e-01,2.772707250946915281e-01,-1.650223449036924306e+00,-5.605870966822142920e-01,4.144895673805233938e-01,5.215408212394626597e-01,-4.736999999999999708e-06,3.189999999999999845e-07,5.178999999999999881e-06,-1.606100000000000089e-05,-1.754000000000000063e-06,1.573999999999999838e-05,-3.213163238774127393e-06,3.648951487475027315e-07,4.654166304662660137e-06,-1.455979279181422961e-05,-1.539472721108558579e-06,1.407890786133387628e-05,-1.142499639836100931e-03,-2.705844543340694841e+01,1.315248633005126244e+01,2.087679774982178493e+00,7.678401752301688976e-02,4.913032801668261625e-04,1.231979969998064917e+02,1.233452080014103558e+02,6.414400053350580722e-01,-1.137598882409995859e-08,5.414399968864698209e-01,6.414400051648143641e-01,-1.314362770897525926e-08,5.414399967294696303e-01
1.000000000000000194e-02,-2.157919719999999986e-01,2.772707280000000218e-01,-1.650223393999999955e+00,-5.605872659999999730e-01,4.144895490000000127e-01,5.215409890000000104e-01,-2.157919726869329535e-01,2.772707299498503586e-01,-1.650223380219818292e+00,-5.605873121964710659e-01,4.144895439427722650e-01,5.215410324104895468e-01,-1.888400000000000080e-05,1.270999999999999986e-06,2.064700000000000069e-05,-6.402800000000000429e-05,-6.994000000000000291e-06,6.275099999999999602e-05,-1.587398574871977424e-05,1.375108544709781683e-06,1.983523880307596583e-05,-6.212657418361636468e-05,-6.784406069896617933e-06,6.099958903372740976e-05,-4.353156436393139025e-03,-2.705857920059073152e+01,1.315302994069143594e+01,2.087439966848291917e+00,7.678391446365594175e-02,4.912793464275169459e-04,9.979257099985261448e+01,9.994464000192238018e+01,6.414400051296715866e-01,-5.472606982033501335e-08,5.414399972328761690e-01,6.414400051674664649e-01,-5.718593753187284224e-08,5.414399960627640507e-01
1.500000000000000638e-02,-2.157921210000000034e-01,2.772707380000000166e-01,-1.650223231000000013e+00,-5.605877719999999842e-01,4.144894929999999866e-01,5.215414849999999714e-01,-2.157921182526499060e-01,2.772707417242046835e-01,-1.650223204839516677e+00,-5.605878605820912020e-01,4.144894840390587198e-01,5.215415705740202856e-01,-4.234599999999999741e-05,2.850999999999999893e-06,4.630000000000000055e-05,-1.435789999999999885e-04,-1.568299999999999875e-05,1.407149999999999970e-04,-3.793987380566215579e-05,3.008003164181446188e-06,4.523389305151054166e-05,-1.413642605741895284e-04,-1.544001463626235376e-05,1.387086665338432021e-04,-7.532781509927934625e-03,-2.705871242861253023e+01,1.315356728840362877e+01,2.087207789278239467e+00,7.678383259972466901e-02,4.911879963973734891e-04,9.696755999902961776e+01,9.711140400031581521e+01,6.414400050678545906e-01,-1.723448523426457299e-07,5.414399971247899623e-01,6.414400050960016308e-01,-1.744068251886554745e-07,5.414399948331733992e-01
2.000000000000001082e-02,-2.157924109999999895e-01,2.772707580000000060e-01,-1.650222913999999985e+00,-5.605887550000000497e-01,4.144893860000000152e-01,5.215424480000000473e-01,-2.157924020824371070e-01,2.772707635212328658e-01,-1.650222872227314230e+00,-5.605888986778519989e-01,4.144893706714417037e-01,5.215425888057444448e-01,-7.502800000000000062e-05,5.052000000000000081e-06,8.203499999999999638e-05,-2.543919999999999862e-04,-2.778600000000000129e-05,2.493190000000000163e-04,-6.931788781689916768e-05,5.260254674716880370e-06,8.070954795742513741e-05,-2.517635081516115094e-04,-2.748627812466741157e-05,2.469134211349672571e-04,-1.067852000321705200e-02,-2.705884256980629488e+01,1.315409841672234137e+01,2.086978596557773180e+00,7.678361811248929358e-02,4.911156808906804025e-04,9.725036300005740486e+01,9.739558699948247522e+01,6.414400051208368758e-01,-4.011332328771044339e-07,5.414399968764712634e-01,6.414400049548638627e-01,-4.016105413814363645e-07,5.414399931051901982e-01
2.500000000000001527e-02,-2.157928859999999893e-01,2.772707899999999892e-01,-1.650222394000000037e+00,-5.605903679999999500e-01,4.144892099999999968e-01,5.215440289999999646e-01,-2.157928704426430033e-01,2.772707984051647201e-01,-1.650222332344668974e+00,-5.605905812400724386e-01,4.144891869706491261e-01,5.215442386688462495e-01,-1.168350000000000020e-04,7.866999999999999387e-06,1.277469999999999951e-04,-3.961459999999999981e-04,-4.326999999999999737e-05,3.882460000000000229e-04,-1.099101237867302792e-04,8.120997040652164656e-06,1.261458801901395028e-04,-3.929697779294874949e-04,-4.289367084215374974e-05,3.853048799558789379e-04,-1.379070414717267247e-02,-2.705897275606518093e+01,1.315462411249852082e+01,2.086751391646548992e+00,7.678335920774284618e-02,4.910475247777732009e-04,1.047699689988803584e+02,1.049227820003579836e+02,6.414400050114368312e-01,-7.759788080120704922e-07,5.414399968667985563e-01,6.414400047554598139e-01,-7.752099269096174729e-07,5.414399909524969523e-01
3.000000000000001971e-02,-2.157935940000000052e-01,2.772708380000000195e-01,-1.650221619999999945e+00,-5.605927680000000191e-01,4.144889480000000237e-01,5.215463809999999478e-01,-2.157935691062093930e-01,2.772708493955584053e-01,-1.650221535691718477e+00,-5.605930613598797407e-01,4.144889162230332991e-01,5.215466701955910889e-01,-1.676720000000000033e-04,1.129100000000000082e-05,1.833329999999999877e-04,-5.685199999999999846e-04,-6.209800000000000075e-05,5.571820000000000331e-04,-1.596173797474405244e-04,1.158258411594758671e-05,1.814408868289338534e-04,-5.646644039072260110e-04,-6.163001467602685071e-05,5.535787567536759905e-04,-1.686956333058775570e-02,-2.705910295272157740e+01,1.315514499708980800e+01,2.086525892397980364e+00,7.678307783360990846e-02,4.909807658472875157e-04,1.128125859977444634e+02,1.129095470023457892e+02,6.414400049739540366e-01,-1.334547389793119883e-06,5.414399967327900853e-01,6.414400045064759803e-01,-1.331229993372734431e-06,5.414399884529367268e-01
3.500000000000002415e-02,-2.157945779999999869e-01,2.772709039999999847e-01,-1.650220543999999956e+00,-5.605961050000000112e-01,4.144885830000000215e-01,5.215496520000000302e-01,-2.157945433499645904e-01,2.772709194812767453e-01,-1.650220433299531386e+00,-5.605964905437058610e-01,4.144885418900146612e-01,5.215500318835049054e-01,-2.274429999999999974e-04,1.531600000000000040e-05,2.486880000000000015e-04,-7.711919999999999713e-04,-8.423499999999999564e-05,7.558130000000000360e-04,-2.183404168595956432e-04,1.563988191931687600e-05,2.464856005309715311e-04,-7.665316347921108950e-04,-8.365841783219373471e-05,7.514263651144774143e-04,-1.991513614401172264e-02,-2.705923140375331926e+01,1.315566000359345722e+01,2.086301729636123703e+00,7.678275478895794925e-02,4.909149083057735407e-04,1.049325839994708076e+02,1.050242880010046065e+02,6.414400047383599368e-01,-2.110922384060534769e-06,5.414399968611941505e-01,6.414400042135326441e-01,-2.105308350859216663e-06,5.414399856748004503e-01
4.000000000000002859e-02,-2.157958829999999939e-01,2.772709919999999939e-01,-1.650219117000000013e+00,-5.606005309999999575e-01,4.144881000000000260e-01,5.215539900000000229e-01,-2.157958379541505545e-01,2.772710116263025770e-01,-1.650218976716998576e+00,-5.606010187276355694e-01,4.144880476016191695e-01,5.215544706971934064e-01,-2.960530000000000063e-04,1.993800000000000121e-05,3.237110000000000183e-04,-1.003842999999999923e-03,-1.096470000000000024e-04,9.838259999999999280e-04,-2.859798633008318164e-04,2.028802034986391389e-05,3.211800666983749704e-04,-9.982585586149068501e-04,-1.089472851572298321e-04,9.785425581018366605e-04,-2.292750488607781315e-02,-2.705935918324583511e+01,1.315617013935093382e+01,2.086078889768420819e+00,7.678239196022801361e-02,4.908498894171512729e-04,1.065290590013319161e+02,1.066346929983410519e+02,6.414400044986550142e-01,-3.140545211324951948e-06,5.414399967759809806e-01,6.414400038815915028e-01,-3.132696538577089928e-06,5.414399826769341617e-01
4.500000000000003303e-02,-2.157975530000000031e-01,2.772711050000000177e-01,-1.650217290000000059e+00,-5.606061949999999738e-01,4.144874809999999909e-01,5.215595410000000154e-01,-2.157974971952636989e-01,2.772711287628508159e-01,-1.650217118007850425e+00,-5.606067942851624686e-01,4.144874171510782301e-01,5.215601320711694688e-01,-3.734060000000000092e-04,2.515000000000000146e-05,4.082970000000000111e-04,-1.266152999999999897e-03,-1.382990000000000120e-04,1.240907000000000078e-03,-3.624340494967691708e-04,2.551965720713154771e-05,4.054193160014939222e-04,-1.259532955498340445e-03,-1.374632903381741518e-04,1.234620771441580396e-03,-2.590592110092901010e-02,-2.705948681801543643e+01,1.315667519393236340e+01,2.085857191634839847e+00,7.678198488958734580e-02,4.907855778815686451e-04,1.043129479985509533e+02,1.044133719988167286e+02,6.414400044043111482e-01,-4.458248173946702558e-06,5.414399967447505180e-01,6.414400035134718570e-01,-4.448255946662912874e-06,5.414399795130164783e-01
5.000000000000003747e-02,-2.157996309999999918e-01,2.772712449999999995e-01,-1.650215017000000062e+00,-5.606132440000000106e-01,4.144867110000000077e-01,5.215664490000000431e-01,-2.157995648497645080e-01,2.772712737938643479e-01,-1.650214809754967149e+00,-5.606139640338574370e-01,4.144866345066338109e-01,5.215671599078494092e-01,-4.594080000000000169e-04,3.094599999999999814e-05,5.023430000000000386e-04,-1.557802999999999966e-03,-1.701550000000000133e-04,1.526744000000000018e-03,-4.476040743393994289e-04,3.132993036286298036e-05,4.991002858162153560e-04,-1.550044367100534420e-03,-1.691703263530847014e-04,1.519354717712672383e-03,-2.885129014861308530e-02,-2.705961360447855668e+01,1.315717515000320859e+01,2.085636420134514779e+00,7.678152579911184938e-02,4.907218360722194386e-04,1.054067469995061401e+02,1.056623399999807589e+02,6.414400040348433585e-01,-6.097868061038097599e-06,5.414399967841280192e-01,6.414400031092287735e-01,-6.086460003757010231e-06,5.414399762282300355e-01
