time_s,q_ref_rad_1,q_ref_rad_2,q_ref_rad_3,q_ref_rad_4,q_ref_rad_5,q_ref_rad_6,q_rad_1,q_rad_2,q_rad_3,q_rad_4,q_rad_5,q_rad_6,dq_ref_rad_s_1,dq_ref_rad_s_2,dq_ref_rad_s_3,dq_ref_rad_s_4,dq_ref_rad_s_5,dq_ref_rad_s_6,dq_rad_s_1,dq_rad_s_2,dq_rad_s_3,dq_rad_s_4,dq_rad_s_5,dq_rad_s_6,tau_Nm_1,tau_Nm_2,tau_Nm_3,tau_Nm_4,tau_Nm_5,tau_Nm_6,solve_ms,cycle_ms,tcp_ref_m_x,tcp_ref_m_y,tcp_ref_m_z,tcp_m_x,tcp_m_y,tcp_m_z
1.000000000000000021e-03,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462999999890e+00,-5.605870530000000018e-01,4.144895719999999728e-01,5.215407800000000371e-01,-2.157919089771860310e-01,2.772707240188675426e-01,-1.650223462844849331e+00,-5.605870536387016489e-01,4.144895719313921312e-01,5.215407796275477459e-01,-1.900000000000000073e-07,1.300000000000000060e-08,2.080000000000000096e-07,-6.439999999999999963e-07,-7.000000000000000477e-08,6.309999999999999725e-07,2.281397269523594383e-08,1.886752885053101700e-08,1.551505550777628502e-07,-6.387016406040920810e-07,-6.860784116426257847e-08,6.275478277964338294e-07,-1.258375627384057580e-05,-2.705838866953009614e+01,1.315227558212060188e+01,2.087759320868316060e+00,7.678359159606619466e-02,4.913482829569424488e-04,7.230473899835487828e+01,7.238857300035306253e+01,6.414400051389174129e-01,-5.061754183882660714e-09,5.414399969152825509e-01,6.414400051322051155e-01,-5.073384343801112885e-09,5.414399968877333658e-01
2.000000000000000042e-03,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462000000030e+00,-5.605870539999999735e-01,4.144895719999999728e-01,5.215407810000000088e-01,-2.157919093109090802e-01,2.772707240818455543e-01,-1.650223462119714046e+00,-5.605870562033488103e-01,4.144895716523412377e-01,5.215407821468117655e-01,-7.589999999999999540e-07,5.100000000000000007e-08,8.299999999999999942e-07,-2.574999999999999910e-06,-2.809999999999999883e-07,2.523999999999999890e-06,-3.337230445768010920e-07,6.297802199515152742e-08,7.251353756087966176e-07,-2.564647190525801052e-06,-2.790508761466966323e-07,2.519264065028336796e-06,-6.545431063809727676e-04,-2.705841586897027540e+01,1.315238439162552631e+01,2.087712343863661779e+00,7.678356432524895137e-02,4.913355561607661744e-04,6.784694499947363511e+01,6.792042400047648698e+01,6.414400052410001996e-01,-5.122016806455298344e-09,5.414399972547137008e-01,6.414400051186083251e-01,-5.396019619352543512e-09,5.414399968326191193e-01
3.000000000000000062e-03,-2.157919100000000034e-01,2.772707240000000239e-01,-1.650223460999999947e+00,-5.605870579999999714e-01,4.144895710000000011e-01,5.215407850000000067e-01,-2.157919103810883310e-01,2.772707242146499884e-01,-1.650223460409562026e+00,-5.605870619783539510e-01,4.144895710226583208e-01,5.215407878125877250e-01,-1.707999999999999995e-06,1.149999999999999974e-07,1.867000000000000082e-06,-5.789999999999999622e-06,-6.320000000000000476e-07,5.674000000000000224e-06,-1.070179259780279740e-06,1.328044437005232414e-07,1.710152109063849527e-06,-5.775005185187890799e-06,-6.296828946505461591e-07,5.665775910860334854e-06,-1.297215785797456835e-03,-2.705844249970763826e+01,1.315249333274653587e+01,2.087665437803615021e+00,7.678354462993183804e-02,4.913198159067156063e-04,6.834366399925784208e+01,6.841419899865286425e+01,6.414400051787721990e-01,-5.952923588348202437e-09,5.414399971183030402e-01,6.414400050982411727e-01,-6.329269548993598987e-09,5.414399967502308009e-01
4.000000000000000083e-03,-2.157919130000000019e-01,2.772707240000000239e-01,-1.650223459000000004e+00,-5.605870659999999672e-01,4.144895710000000011e-01,5.215407930000000025e-01,-2.157919125666793170e-01,2.772707244429784557e-01,-1.650223457300039165e+00,-5.605870722443864196e-01,4.144895699028424141e-01,5.215407978793699106e-01,-3.034000000000000089e-06,2.040000000000000003e-07,3.317000000000000175e-06,-1.028599999999999944e-05,-1.123000000000000090e-06,1.008100000000000055e-05,-2.185590987378829032e-06,2.283284478764789476e-07,3.109522776678719108e-06,-1.026603246620094107e-05,-1.119815910371500357e-06,1.006678215343199937e-05,-1.938247211589027913e-03,-2.705846925800396008e+01,1.315260223311285159e+01,2.087618703578307588e+00,7.678353140990466785e-02,4.913055822947938033e-04,6.696616599947446957e+01,6.703845399897545576e+01,6.414400050543163090e-01,-8.153046273801090766e-09,5.414399970249619276e-01,6.414400050713102708e-01,-8.171969296408287939e-09,5.414399966410983200e-01
5.000000000000000104e-03,-2.157919169999999998e-01,2.772707249999999957e-01,-1.650223454000000034e+00,-5.605870790000000436e-01,4.144895690000000021e-01,5.215408059999999679e-01,-2.157919162451648887e-01,2.772707247925124685e-01,-1.650223452378431155e+00,-5.605870882790139342e-01,4.144895681532823062e-01,5.215408135967651848e-01,-4.736999999999999708e-06,3.189999999999999845e-07,5.178999999999999881e-06,-1.606100000000000089e-05,-1.754000000000000063e-06,1.573999999999999838e-05,-3.678485564273037849e-06,3.495340040707948016e-07,4.921608096981879916e-06,-1.603462751623172200e-05,-1.749560117126459695e-06,1.571739529137213676e-05,-2.576910807698523913e-03,-2.705849553804306140e+01,1.315271045705724440e+01,2.087572043622246021e+00,7.678351037856936956e-02,4.912906227905420318e-04,6.870938000065507367e+01,6.878030900043086149e+01,6.414400053350580722e-01,-1.137598882409995859e-08,5.414399968864698209e-01,6.414400050379329699e-01,-1.122187756683046295e-08,5.414399965053825481e-01
6.000000000000000125e-03,-2.157919219999999971e-01,2.772707249999999957e-01,-1.650223447999999982e+00,-5.605870990000000331e-01,4.144895670000000032e-01,5.215408249999999857e-01,-2.157919217935467537e-01,2.772707252889108909e-01,-1.650223445232623209e+00,-5.605871113569566022e-01,4.144895656351104685e-01,5.215408362143697518e-01,-6.815999999999999624e-06,4.590000000000000205e-07,7.452999999999999624e-06,-2.311200000000000166e-05,-2.523999999999999890e-06,2.265100000000000048e-05,-5.548381863337203033e-06,4.963983972167750342e-07,7.145807972937096223e-06,-2.307794269573434296e-05,-2.518171817360472264e-06,2.261760457900873362e-05,-3.214684195827403109e-03,-2.705852185318597591e+01,1.315281862051859463e+01,2.087525489244279164e+00,7.678349362554393043e-02,4.912769070472552480e-04,6.855759800237137824e+01,6.862787799764191732e+01,6.414400051807712666e-01,-1.541020946642379525e-08,5.414399969417685865e-01,6.414400049982839080e-01,-1.577631076385421721e-08,5.414399963434121110e-01
7.000000000000000146e-03,-2.157919299999999929e-01,2.772707260000000229e-01,-1.650223438999999903e+00,-5.605871260000000467e-01,4.144895639999999770e-01,5.215408510000000275e-01,-2.157919295888330591e-01,2.772707259573340410e-01,-1.650223435451046772e+00,-5.605871427502292503e-01,4.144895622092025222e-01,5.215408669778138773e-01,-9.272000000000000334e-06,6.239999999999999760e-07,1.013800000000000017e-05,-3.143699999999999734e-05,-3.434000000000000071e-06,3.080999999999999809e-05,-7.795286308875735954e-06,6.684231546457618837e-07,9.781576386878140415e-06,-3.139327262038376265e-05,-3.425907921582400299e-06,3.076344415222652981e-05,-3.852227856998270260e-03,-2.705854907764781103e+01,1.315292704234794741e+01,2.087479055020163621e+00,7.678347484300505899e-02,4.912625558571243403e-04,6.822761100193019956e+01,6.829913299952750094e+01,6.414400053221415154e-01,-2.175032389359343840e-08,5.414399967842554728e-01,6.414400049524957570e-01,-2.213249117365145894e-08,5.414399961558956642e-01
8.000000000000000167e-03,-2.157919409999999871e-01,2.772707260000000229e-01,-1.650223428000000103e+00,-5.605871620000000277e-01,4.144895599999999791e-01,5.215408870000000086e-01,-2.157919400070494320e-01,2.772707268234214650e-01,-1.650223422623730674e+00,-5.605871837280281822e-01,4.144895577372224582e-01,5.215409071298253707e-01,-1.210200000000000034e-05,8.150000000000000319e-07,1.323199999999999969e-05,-4.103299999999999829e-05,-4.481999999999999609e-06,4.021399999999999817e-05,-1.041821637924154146e-05,8.660874480744890854e-07,1.282731607652577989e-05,-4.097779893669676552e-05,-4.471980044178828719e-06,4.015201144625140837e-05,-4.488187339018815010e-03,-2.705857480524034031e+01,1.315303450759683201e+01,2.087432604253165458e+00,7.678344710941854834e-02,4.912482671189229112e-04,6.679115299994009547e+01,6.685266000204137526e+01,6.414400050757957938e-01,-3.032230429175774857e-08,5.414399969415236713e-01,6.414400049007050741e-01,-3.058686421997247532e-08,5.414399959429290199e-01
9.000000000000001055e-03,-2.157919550000000075e-01,2.772707269999999946e-01,-1.650223412999999972e+00,-5.605872090000000307e-01,4.144895550000000095e-01,5.215409319999999571e-01,-2.157919534227178415e-01,2.772707279128189262e-01,-1.650223406341202237e+00,-5.605872355565425513e-01,4.144895520809670497e-01,5.215409579121674799e-01,-1.530600000000000558e-05,1.031000000000000378e-06,1.673600000000000714e-05,-5.189700000000002167e-05,-5.669000000000002813e-06,5.086200000000002226e-05,-1.341566840985142673e-05,1.089397451124181666e-06,1.628252838466535455e-05,-5.182851441145601721e-05,-5.656255396362128543e-06,5.078234209015933026e-05,-5.121781728174724241e-03,-2.705860071758755225e+01,1.315314192638627588e+01,2.087386328704297078e+00,7.678342574274904520e-02,4.912348812785835355e-04,6.701179599986062385e+01,6.707013799677952193e+01,6.414400050628789041e-01,-4.133808001353933363e-08,5.414399968393092122e-01,6.414400048431363466e-01,-4.143480944684973865e-08,5.414399957047689727e-01
1.000000000000000194e-02,-2.157919719999999986e-01,2.772707280000000218e-01,-1.650223393999999955e+00,-5.605872659999999730e-01,4.144895490000000127e-01,5.215409890000000104e-01,-2.157919702103658355e-01,2.772707292501544463e-01,-1.650223386195039721e+00,-5.605872994998918335e-01,4.144895451025067956e-01,5.215410205634668506e-01,-1.888400000000000080e-05,1.270999999999999986e-06,2.064700000000000069e-05,-6.402800000000000429e-05,-6.994000000000000291e-06,6.275099999999999602e-05,-1.678764799074335592e-05,1.337335537245376703e-06,2.014616255642386760e-05,-6.394334933249959407e-05,-6.978460272033834799e-06,6.265129940009306320e-05,-5.755093093413776034e-03,-2.705862818840584083e+01,1.315324958367133235e+01,2.087340142317038350e+00,7.678340853412496392e-02,4.912209699963195975e-04,6.661173099928419106e+01,6.666723400121554732e+01,6.414400051296715866e-01,-5.472606982033501335e-08,5.414399972328761690e-01,6.414400047797499393e-01,-5.497155975506262522e-08,5.414399954421087457e-01
