time_s,q_ref_rad_1,q_ref_rad_2,q_ref_rad_3,q_ref_rad_4,q_ref_rad_5,q_ref_rad_6,q_rad_1,q_rad_2,q_rad_3,q_rad_4,q_rad_5,q_rad_6,dq_ref_rad_s_1,dq_ref_rad_s_2,dq_ref_rad_s_3,dq_ref_rad_s_4,dq_ref_rad_s_5,dq_ref_rad_s_6,dq_rad_s_1,dq_rad_s_2,dq_rad_s_3,dq_rad_s_4,dq_rad_s_5,dq_rad_s_6,tau_Nm_1,tau_Nm_2,tau_Nm_3,tau_Nm_4,tau_Nm_5,tau_Nm_6,solve_ms,cycle_ms,tcp_ref_m_x,tcp_ref_m_y,tcp_ref_m_z,tcp_m_x,tcp_m_y,tcp_m_z,torque_updated,wall_lag_ms
1.000000000000000021e-03,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462999999890e+00,-5.605870530000000018e-01,4.144895719999999728e-01,5.215407800000000371e-01,-2.157919250491350804e-01,2.772707248545123182e-01,-1.650223447444892022e+00,-5.605870996509814130e-01,4.144895676037011478e-01,5.215408246585828689e-01,-1.900000000000000073e-07,1.300000000000000060e-08,2.080000000000000096e-07,-6.439999999999999963e-07,-7.000000000000000477e-08,6.309999999999999725e-07,-1.604913506387064910e-05,8.545123026873625574e-07,1.555510786586571722e-05,-4.665098146080474007e-05,-4.396298822423911099e-06,4.565858291362471345e-05,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,6.316259969025850296e-01,6.414400051389174129e-01,-5.061754183882660714e-09,5.414399969152825509e-01,6.414400052018545129e-01,-1.736420094473889593e-08,5.414399972631839253e-01,1.000000000000000000e+00,1.620902912691235542e-02
2.000000000000000042e-03,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462000000030e+00,-5.605870539999999735e-01,4.144895719999999728e-01,5.215407810000000088e-01,-2.157919571474915532e-01,2.772707265635291352e-01,-1.650223416335058646e+00,-5.605871929511211382e-01,4.144895588117971652e-01,5.215409159739864409e-01,-7.589999999999999540e-07,5.100000000000000007e-08,8.299999999999999942e-07,-2.574999999999999910e-06,-2.809999999999999883e-07,2.523999999999999890e-06,-3.209835648116667831e-05,1.709016797716541501e-06,3.110983332607163680e-05,-9.330013970322303420e-05,-8.791903976771838096e-06,9.131540353515200568e-05,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,7.752404781058430672e-02,6.414400052410001996e-01,-5.122016806455298344e-09,5.414399972547137008e-01,6.414400053277662384e-01,-4.196905447211019214e-08,5.414399979591094647e-01,0.000000000000000000e+00,4.207163990940898657e+00
3.000000000000000062e-03,-2.157919100000000034e-01,2.772707240000000239e-01,-1.650223460999999947e+00,-5.605870579999999714e-01,4.144895710000000011e-01,5.215407850000000067e-01,-2.157920052952419232e-01,2.772707291270350427e-01,-1.650223369671264484e+00,-5.605873328967722058e-01,4.144895456256761923e-01,5.215410529426858233e-01,-1.707999999999999995e-06,1.149999999999999974e-07,1.867000000000000082e-06,-5.789999999999999622e-06,-6.320000000000000476e-07,5.674000000000000224e-06,-4.814775036450921416e-05,2.563505900970084296e-06,4.666379408374566191e-05,-1.399456510385102006e-04,-1.318612095265211842e-05,1.369686994239443058e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,6.391498027369379997e-02,6.414400051787721990e-01,-5.952923588348202437e-09,5.414399971183030402e-01,6.414400055167287507e-01,-7.887623445622382982e-08,5.414399990033055277e-01,0.000000000000000000e+00,5.509950045961886644e+00
4.000000000000000083e-03,-2.157919130000000019e-01,2.772707240000000239e-01,-1.650223459000000004e+00,-5.605870659999999672e-01,4.144895710000000011e-01,5.215407930000000025e-01,-2.157920694926447336e-01,2.772707325450070592e-01,-1.650223307454656618e+00,-5.605875194824641028e-01,4.144895280474208965e-01,5.215412355593941340e-01,-3.034000000000000089e-06,2.040000000000000003e-07,3.317000000000000175e-06,-1.028599999999999944e-05,-1.123000000000000090e-06,1.008100000000000055e-05,-6.419740281995727665e-05,3.417972029458826526e-06,6.221660786967208039e-05,-1.865856919213630769e-04,-1.757825528718880536e-05,1.826167082769224919e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.097780186682939529e-01,6.414400050543163090e-01,-8.153046273801090766e-09,5.414399970249619276e-01,6.414400057688544043e-01,-1.280856205957969905e-07,5.414400003961404861e-01,0.000000000000000000e+00,6.846440955996513367e+00
5.000000000000000104e-03,-2.157919169999999998e-01,2.772707249999999957e-01,-1.650223454000000034e+00,-5.605870790000000436e-01,4.144895690000000021e-01,5.215408059999999679e-01,-2.157921497400446809e-01,2.772707368174146536e-01,-1.650223229686764270e+00,-5.605877527009031080e-01,4.144895060798082786e-01,5.215414638170621231e-01,-4.736999999999999708e-06,3.189999999999999845e-07,5.178999999999999881e-06,-1.606100000000000089e-05,-1.754000000000000063e-06,1.573999999999999838e-05,-8.024739994372466934e-05,4.272407601923033719e-06,7.776789245634460027e-05,-2.332184390216433009e-04,-2.196761259076163392e-05,2.282576679985080911e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.063219970092177391e-01,6.414400053350580722e-01,-1.137598882409995859e-08,5.414399968864698209e-01,6.414400060842947449e-01,-1.895970521697681968e-07,5.414400021381065020e-01,0.000000000000000000e+00,1.189872500253841281e+01
6.000000000000000125e-03,-2.157919219999999971e-01,2.772707249999999957e-01,-1.650223447999999982e+00,-5.605870990000000331e-01,4.144895670000000032e-01,5.215408249999999857e-01,-2.157922460378725038e-01,2.772707419442196897e-01,-1.650223136369498578e+00,-5.605880325429724031e-01,4.144894797263097286e-01,5.215417377068788385e-01,-6.815999999999999624e-06,4.590000000000000205e-07,7.452999999999999624e-06,-2.311200000000000166e-05,-2.523999999999999890e-06,2.265100000000000048e-05,-9.629782781891889918e-05,5.126805039367364910e-06,9.331726567173400299e-05,-2.798420692961876930e-04,-2.635349857015797066e-05,2.738898167689191878e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,2.788910060189664364e-01,6.414400051807712666e-01,-1.541020946642379525e-08,5.414399969417685865e-01,6.414400064632386211e-01,-2.634103284043093394e-07,5.414400042298191940e-01,0.000000000000000000e+00,1.776075601810589433e+01
7.000000000000000146e-03,-2.157919299999999929e-01,2.772707260000000229e-01,-1.650223438999999903e+00,-5.605871260000000467e-01,4.144895639999999770e-01,5.215408510000000275e-01,-2.157923583866450112e-01,2.772707479253764817e-01,-1.650223027505153262e+00,-5.605883589977325165e-01,4.144894489910906921e-01,5.215420572182719594e-01,-9.272000000000000334e-06,6.239999999999999760e-07,1.013800000000000017e-05,-3.143699999999999734e-05,-3.434000000000000071e-06,3.080999999999999809e-05,-1.123487725122663302e-04,5.981156765673183864e-06,1.088643454132349271e-04,-3.264547600604487173e-04,-3.073521905361117034e-05,3.195113931137247027e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.857950119301676750e-01,6.414400053221415154e-01,-2.175032389359343840e-08,5.414399967842554728e-01,6.414400069059125187e-01,-3.495252082991728988e-07,5.414400066720155280e-01,0.000000000000000000e+00,2.456228900700807571e+01
8.000000000000000167e-03,-2.157919409999999871e-01,2.772707260000000229e-01,-1.650223428000000103e+00,-5.605871620000000277e-01,4.144895599999999791e-01,5.215408870000000086e-01,-2.157924867869650820e-01,2.772707547608316836e-01,-1.650222903096403515e+00,-5.605887320524215456e-01,4.144894138790106708e-01,5.215424223389079073e-01,-1.210200000000000034e-05,8.150000000000000319e-07,1.323199999999999969e-05,-4.103299999999999829e-05,-4.481999999999999609e-06,4.021399999999999817e-05,-1.284003200708500091e-04,6.835455208127538776e-06,1.244087496615212335e-04,-3.730546890602877744e-04,-3.511208001396616801e-05,3.651206359726007818e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,7.648702012374997139e-02,6.414400050757957938e-01,-3.032230429175774857e-08,5.414399969415236713e-01,6.414400074125807816e-01,-4.479414106161177955e-07,5.414400094655570372e-01,0.000000000000000000e+00,2.932566602248698473e+01
9.000000000000001055e-03,-2.157919550000000075e-01,2.772707269999999946e-01,-1.650223412999999972e+00,-5.605872090000000307e-01,4.144895550000000095e-01,5.215409319999999571e-01,-2.157926312395216095e-01,2.772707624505244550e-01,-1.650222763146307114e+00,-5.605891516924560447e-01,4.144893743956230558e-01,5.215428330546926228e-01,-1.530599999999999881e-05,1.030999999999999954e-06,1.673600000000000036e-05,-5.189700000000000134e-05,-5.669000000000000272e-06,5.086200000000000194e-05,-1.444525565188308749e-04,7.689692798028635395e-06,1.399500964944672425e-04,-4.196400345436692358e-04,-3.948338759426296745e-05,4.107157847683733055e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.785870408639311790e-01,6.414400050628789041e-01,-4.133808001353933363e-08,5.414399968393092122e-01,6.414400079835453905e-01,-5.586586140857025315e-07,5.414400126114269352e-01,0.000000000000000000e+00,3.214749501785263419e+01
1.000000000000000194e-02,-2.157919719999999986e-01,2.772707280000000218e-01,-1.650223393999999955e+00,-5.605872659999999730e-01,4.144895490000000127e-01,5.215409890000000104e-01,-2.157927917450894739e-01,2.772707709943864063e-01,-1.650222607658303087e+00,-5.605896179014313585e-01,4.144893305471749057e-01,5.215432893497721212e-01,-1.888400000000000080e-05,1.270999999999999986e-06,2.064700000000000069e-05,-6.402800000000000429e-05,-6.994000000000000291e-06,6.275099999999999602e-05,-1.605055678542006417e-04,8.543861971235822296e-06,1.554880041009506033e-04,-4.662089753321531143e-04,-4.384844813014959032e-05,4.562950794757585559e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,3.658820060081779957e-01,6.414400051296715866e-01,-5.472606982033501335e-08,5.414399972328761690e-01,6.414400086191462957e-01,-6.816764570976019247e-07,5.414400161107320031e-01,0.000000000000000000e+00,3.763930295826867223e+01
1.100000000000000283e-02,-2.157919929999999875e-01,2.772707300000000208e-01,-1.650223371000000050e+00,-5.605873369999999634e-01,4.144895410000000169e-01,5.215410579999999463e-01,-2.157929683045295144e-01,2.772707803923415981e-01,-1.650222436636212375e+00,-5.605901306611222878e-01,4.144892823406067239e-01,5.215437912065328252e-01,-2.283399999999999856e-05,1.537000000000000065e-06,2.496600000000000118e-05,-7.742100000000000295e-05,-8.456000000000000015e-06,7.587700000000000553e-05,-1.765594400454906752e-04,9.397955168754708536e-06,1.710220907948109634e-04,-5.127596908928201691e-04,-4.820656817619783468e-05,5.018567606905102165e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.307739876210689545e-01,6.414400052655823137e-01,-7.132849970786781508e-08,5.414399968911187688e-01,6.414400093197610842e-01,-8.169945379509352554e-07,5.414400199647013689e-01,0.000000000000000000e+00,4.383867798605933785e+01
1.200000000000000372e-02,-2.157920180000000021e-01,2.772707309999999925e-01,-1.650223344000000036e+00,-5.605874220000000019e-01,4.144895319999999939e-01,5.215411410000000414e-01,-2.157931609187885291e-01,2.772707906443064307e-01,-1.650222250084237396e+00,-5.605906899514836450e-01,4.144892297835521822e-01,5.215443386056025643e-01,-2.715599999999999885e-05,1.827999999999999905e-06,2.969199999999999964e-05,-9.207600000000000409e-05,-1.005700000000000044e-05,9.024000000000000337e-05,-1.926142590285194142e-04,1.025196483730036686e-05,1.865519750286829246e-04,-5.592903614098149916e-04,-5.255705452852284942e-05,5.473990696985452835e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.306460471823811531e-01,6.414400050536314124e-01,-9.100240103139533771e-08,5.414399971569039405e-01,6.414400100858049791e-01,-9.646124148408320060e-07,5.414400241746869513e-01,0.000000000000000000e+00,4.796862398507073522e+01
1.300000000000000461e-02,-2.157920469999999868e-01,2.772707329999999915e-01,-1.650223312000000053e+00,-5.605875219999999493e-01,4.144895210000000274e-01,5.215412390000000453e-01,-2.157933695888992198e-01,2.772708017501898659e-01,-1.650222048006962039e+00,-5.605912957506514749e-01,4.144891728843379530e-01,5.215449315258511298e-01,-3.184899999999999949e-05,2.144999999999999792e-06,3.482399999999999726e-05,-1.079889999999999989e-04,-1.179499999999999973e-05,1.058350000000000057e-04,-2.086701107031295986e-04,1.110588342986691850e-05,2.020772754078507371e-04,-6.057991678558323880e-04,-5.689921424967436288e-05,5.929202485445496688e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,2.902289852499961853e-01,6.414400050128805653e-01,-1.139510062829612898e-07,5.414399970267962381e-01,6.414400109177307296e-01,-1.124529605912000290e-06,5.414400287421637925e-01,0.000000000000000000e+00,5.393885803641751409e+01
1.400000000000000550e-02,-2.157920809999999967e-01,2.772707360000000176e-01,-1.650223274000000018e+00,-5.605876379999999992e-01,4.144895080000000065e-01,5.215413530000000408e-01,-2.157935943159801362e-01,2.772708137098932601e-01,-1.650221830409351442e+00,-5.605919480349434991e-01,4.144891116519832663e-01,5.215455699443912740e-01,-3.691299999999999708e-05,2.484999999999999925e-06,4.035999999999999983e-05,-1.251570000000000080e-04,-1.366999999999999956e-05,1.226610000000000103e-04,-2.247270809299272885e-04,1.195970340630386957e-05,2.175976107040960823e-04,-6.522842920637067065e-04,-6.123235469219675522e-05,6.384185401007783089e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.265850150957703590e-01,6.414400052454128920e-01,-1.408760190030472405e-07,5.414399968402268115e-01,6.414400118160289432e-01,-1.296745589043399323e-06,5.414400336687288373e-01,0.000000000000000000e+00,5.953097302699461579e+01
1.500000000000000638e-02,-2.157921210000000034e-01,2.772707380000000166e-01,-1.650223231000000013e+00,-5.605877719999999842e-01,4.144894929999999866e-01,5.215414849999999714e-01,-2.157938351012356759e-01,2.772708265233104763e-01,-1.650221597296751552e+00,-5.605926467788603373e-01,4.144890460961997425e-01,5.215462538365793765e-01,-4.234599999999999741e-05,2.850999999999999893e-06,4.630000000000000055e-05,-1.435789999999999885e-04,-1.568299999999999875e-05,1.407149999999999970e-04,-2.407852555270008777e-04,1.281341723387961507e-05,2.331125998696247851e-04,-6.987439167982703722e-04,-6.555578352380684855e-05,6.838921881363851235e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,3.877680283039808273e-01,6.414400050678545906e-01,-1.723448523426457299e-07,5.414399971247899623e-01,6.414400127812281971e-01,-1.481259802079831784e-06,5.414400389561020432e-01,0.000000000000000000e+00,6.469278095755726099e+01
1.600000000000000727e-02,-2.157921660000000075e-01,2.772707409999999872e-01,-1.650223181000000094e+00,-5.605879259999999586e-01,4.144894769999999951e-01,5.215416349999999479e-01,-2.157940919459559459e-01,2.772708401903278830e-01,-1.650221348674889565e+00,-5.605933919550861733e-01,4.144889762273910039e-01,5.215469831760167763e-01,-4.814800000000000048e-05,3.242000000000000046e-06,5.264399999999999944e-05,-1.632509999999999994e-04,-1.783099999999999919e-05,1.599949999999999886e-04,-2.568447202666904162e-04,1.366701738784349599e-05,2.486218620507753036e-04,-7.451762258273461441e-04,-6.986880875051736421e-05,7.293394373854951906e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,7.212802302092313766e-02,6.414400051013501303e-01,-2.078764316517239875e-07,5.414399973959612700e-01,6.414400138138937058e-01,-1.678071642842948678e-06,5.414400446061258254e-01,0.000000000000000000e+00,6.976451899390667677e+01
1.700000000000000816e-02,-2.157922170000000084e-01,2.772707449999999851e-01,-1.650223124999999902e+00,-5.605880989999999509e-01,4.144894579999999773e-01,5.215418050000000250e-01,-2.157943648515168178e-01,2.772708547108242438e-01,-1.650221084549873041e+00,-5.605941835344901980e-01,4.144889020566522864e-01,5.215477579345504378e-01,-5.431799999999999731e-05,3.656999999999999884e-06,5.938999999999999889e-05,-1.841710000000000092e-04,-2.011599999999999849e-05,1.804979999999999920e-04,-2.729055608723041028e-04,1.452049635201592722e-05,2.641250166019994345e-04,-7.915794039935979522e-04,-7.417073874155989829e-05,7.747585336166237183e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,2.818309585563838482e-01,6.414400052438162803e-01,-2.481550665108106458e-07,5.414399971348301532e-01,6.414400149146293195e-01,-1.887180469081442531e-06,5.414400506207646124e-01,0.000000000000000000e+00,7.366886001545935869e+01
1.800000000000000905e-02,-2.157922750000000056e-01,2.772707489999999830e-01,-1.650223062000000018e+00,-5.605882949999999587e-01,4.144894359999999889e-01,5.215419970000000349e-01,-2.157946538193798447e-01,2.772708700846708840e-01,-1.650220804928189899e+00,-5.605950214861274983e-01,4.144888235957700506e-01,5.215485780822741724e-01,-6.085499999999999926e-05,4.098000000000000405e-06,6.653800000000000567e-05,-2.063359999999999977e-04,-2.253700000000000123e-05,2.022209999999999871e-04,-2.889678630148737027e-04,1.537384661934586717e-05,2.796216830995889636e-04,-8.379516372857861821e-04,-7.846088225301113030e-05,8.201477237009394735e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.067499979399144650e-01,6.414400052245345929e-01,-2.939143987423925435e-07,5.414399969212897457e-01,6.414400160840758591e-01,-2.108585598419379648e-06,5.414400570021055126e-01,0.000000000000000000e+00,8.058558299671858549e+01
1.900000000000000994e-02,-2.157923389999999997e-01,2.772707529999999809e-01,-1.650222992000000000e+00,-5.605885130000000105e-01,4.144894129999999732e-01,5.215422100000000061e-01,-2.157949588510921501e-01,2.772708863117315792e-01,-1.650220509816708647e+00,-5.605959057772403886e-01,4.144887408572215937e-01,5.215494435875298596e-01,-6.775799999999999738e-05,4.561999999999999690e-06,7.408699999999999726e-05,-2.297439999999999877e-04,-2.509400000000000064e-05,2.251619999999999967e-04,-3.050317123098945948e-04,1.622706069248627670e-05,2.951114813555602567e-04,-8.842911129101918783e-04,-8.273854845205049153e-05,8.655052556812976687e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,3.036959678865969181e-01,6.414400050982743684e-01,-3.443839795855413283e-07,5.414399970635205284e-01,6.414400173229117819e-01,-2.342286308570557045e-06,5.414400637523577586e-01,0.000000000000000000e+00,8.548554504523053765e+01
2.000000000000001082e-02,-2.157924109999999895e-01,2.772707580000000060e-01,-1.650222913999999985e+00,-5.605887550000000497e-01,4.144893860000000152e-01,5.215424480000000473e-01,-2.157952799482864559e-01,2.772709033918626664e-01,-1.650220199222677264e+00,-5.605968363732597437e-01,4.144886538541746601e-01,5.215503544169086680e-01,-7.502800000000000062e-05,5.052000000000000081e-06,8.203499999999999638e-05,-2.543919999999999862e-04,-2.778600000000000129e-05,2.493190000000000163e-04,-3.210971943140742226e-04,1.708013108434268651e-05,3.105940314314276931e-04,-9.305960193619909658e-04,-8.700304694084276720e-05,9.108293788408155329e-04,-2.659563630907686368e-02,-2.705952949652763095e+01,1.315662959607407956e+01,2.085995943787680496e+00,7.677860183805934602e-02,4.907104480833551384e-04,0.000000000000000000e+00,1.921770162880420685e-01,6.414400051208368758e-01,-4.011332328771044339e-07,5.414399968764712634e-01,6.414400186318534036e-01,-2.588281837223635683e-06,5.414400708738527079e-01,0.000000000000000000e+00,9.242157801054418087e+01
